Player,90s,Gls,Ast,npxG,xAG,npxG+xAG,PrgC,CrsPA,Sh,SoT,G/Sh,G/SoT,Crs,Att,Succ,Succ%,Carries,Rec,PrgR,SCA,PassLive,PassDead,TO,Def,GCA
Dani Olmo,1.7,1,1,0.9,0.9,1.7,9,0,11,3,0.09,0.33,0,9,7,77.8,68,75,17,11,8,0,2,0,2
Loïs Openda,0.8,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,8,9,1,1,1,0,0,0,0
Mikel Oyarzabal,1.4,0,1,0.4,0.2,0.6,2,0,1,1,0.0,0.0,2,2,0,0.0,26,32,11,5,5,0,0,0,1
Ayoze Pérez,0.1,0,0,0.3,0.0,0.3,2,0,3,2,0.0,0.0,0,3,2,66.7,4,5,3,1,0,0,1,0,0
Ivan Perišić,1.5,0,0,0.1,0.4,0.5,8,4,4,2,0.0,0.0,14,3,1,33.3,46,55,17,5,4,0,0,0,0
Bruno Petković,1.0,0,0,0.3,0.1,0.4,2,0,3,0,0.0,0.0,0,2,1,50.0,18,29,2,4,2,0,0,0,0
Krzysztof Piątek,0.7,1,0,0.5,0.0,0.5,0,0,2,1,0.5,1.0,1,0,0,0.0,10,13,2,1,1,0,0,0,0
Yussuf Poulsen,0.6,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,1,1,0,0.0,12,18,5,1,1,0,0,0,0
George Pușcaș,0.4,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,3,10,1,0,0,0,0,0,0
Gonçalo Ramos,0.3,0,0,0.1,0.0,0.1,0,0,1,0,0.0,0.0,0,0,0,0.0,3,2,0,0,0,0,0,0,0
Giacomo Raspadori,0.9,0,0,0.1,0.4,0.4,1,0,1,0,0.0,0.0,10,1,1,100.0,40,41,5,6,2,3,0,0,0
Mateo Retegui,1.7,0,0,0.2,0.0,0.2,0,0,4,1,0.0,0.0,0,1,0,0.0,20,26,6,0,0,0,0,0,0
Cristiano Ronaldo,4.1,0,1,2.0,1.2,3.2,1,1,19,8,0.0,0.0,4,7,3,42.9,61,85,29,13,9,0,1,0,1
Bukayo Saka,3.7,0,0,0.2,0.1,0.3,16,1,4,0,0.0,0.0,10,21,9,42.9,126,154,45,9,7,0,1,0,1
Roland Sallai,3.0,0,1,0.6,1.0,1.6,12,2,8,2,0.0,0.0,7,6,3,50.0,86,80,23,9,8,0,0,1,2
Leo Sauer,0.1,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,0.0,4,4,3,0,0,0,0,0,0
Gianluca Scamacca,2.8,0,0,0.6,0.2,0.8,1,0,6,1,0.0,0.0,0,0,0,0.0,43,46,11,5,2,0,0,1,1
Patrik Schick,1.4,1,0,1.5,0.1,1.6,2,0,7,4,0.14,0.25,2,3,0,0.0,29,35,6,1,1,0,0,0,0
Ivan Schranz,3.7,3,0,1.0,0.3,1.3,5,0,5,4,0.6,0.75,4,1,0,0.0,67,79,16,9,9,0,0,0,0
Taulant Seferi,1.0,0,0,0.0,0.1,0.1,2,0,1,1,0.0,0.0,1,0,0,0.0,22,19,3,2,1,0,0,1,0
Benjamin Šeško,4.0,0,0,0.9,0.1,1.0,3,0,8,4,0.0,0.0,1,14,4,28.6,48,74,21,7,4,0,0,0,1
Stephan El Shaarawy,0.5,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,1,0,0.0,11,11,0,0,0,0,0,0,0
Lawrence Shankland,0.3,0,0,0.0,0.0,0.0,1,1,0,0,0.0,0.0,1,1,0,0.0,9,9,1,1,1,0,0,0,0
Bernardo Silva,3.3,1,0,0.6,0.4,1.0,11,1,5,2,0.2,0.5,7,4,2,50.0,148,164,36,13,12,1,0,0,0
Andraž Šporar,3.8,0,0,1.0,0.8,1.8,3,1,7,1,0.0,0.0,5,2,1,50.0,40,70,19,8,6,0,0,1,0
Renato Steffen,0.0,0,0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dávid Strelec,2.0,0,1,0.7,0.8,1.5,0,0,7,1,0.0,0.0,0,5,2,40.0,32,39,6,5,4,0,0,0,1
Tomáš Suslov,1.4,0,0,0.0,0.1,0.1,6,3,0,0,0.0,0.0,12,9,3,33.3,47,48,10,5,5,0,0,0,0
Karol Świderski,1.0,0,0,0.3,0.6,0.9,0,1,2,2,0.0,0.0,3,2,0,0.0,10,18,6,4,1,1,0,0,1
Marcus Thuram,2.5,0,0,0.6,0.1,0.6,6,0,11,2,0.0,0.0,0,7,3,42.9,48,60,15,4,4,0,0,0,0
Ivan Toney,0.3,0,1,0.1,0.2,0.3,0,0,1,0,0.0,0.0,0,0,0,0.0,6,11,1,2,1,0,0,0,1
