,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
37,37,Nicolò Barella,MF,it Italy,27-142,1997,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,1.33,3.0,3.0,0.0,0.0,0.0,2.6,3.4,-0.8,-0.28,3.5,Matches
38,38,Alessandro Bastoni,DF,it Italy,25-076,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.6,3.5,-0.9,-0.29,,Matches
39,39,Martin Baturina,FW,hr Croatia,21-133,2003,1,7.0,7.0,2.6,0.1,0,,0,1,7.0,2,1.0,0.0,1.0,-1.0,-12.86,-12.17,0.2,0.5,-0.2,-3.18,-3.72,Matches
40,40,Oliver Baumann,GK,de Germany,34-026,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
41,41,Christoph Baumgartner,"MF,FW",at Austria,24-332,1999,3,199.0,66.0,73.7,2.2,2,85.0,1,1,29.0,0,2.0,4.0,3.0,1.0,0.45,-0.82,2.6,3.5,-0.9,-0.41,0.38,Matches
42,42,Altay Bayındır,GK,tr Türkiye,26-075,1998,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,3.0,-3.0,-3.0,-4.5,0.7,1.9,-1.1,-1.15,-1.86,Matches
43,43,Jan Bednarek,DF,pl Poland,28-077,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,6.0,-3.0,-1.0,,4.1,5.9,-1.8,-0.6,,Matches
44,44,Maximilian Beier,FW,de Germany,21-255,2002,1,26.0,26.0,9.6,0.3,0,,0,1,26.0,2,1.0,1.0,0.0,1.0,3.46,1.62,0.8,0.1,0.7,2.41,1.48,Matches
45,45,Vid Belec,GK,si Slovenia,34-022,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
46,46,Raoul Bellanova,"DF,MF",it Italy,24-042,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
47,47,Jude Bellingham,MF,eng England,20-365,2003,3,265.0,88.0,98.1,2.9,3,88.0,2,0,,0,1.67,2.0,1.0,1.0,0.34,0.34,2.2,1.1,1.1,0.36,1.1,Matches
48,48,László Bénes,MF,sk Slovakia,26-293,1997,1,31.0,31.0,11.5,0.3,0,,0,1,31.0,2,0.0,0.0,1.0,-1.0,-2.9,-3.28,0.2,0.4,-0.1,-0.41,0.29,Matches
49,49,Bartosz Bereszyński,DF,pl Poland,31-352,1992,1,5.0,5.0,1.9,0.1,0,,0,1,5.0,2,0.0,0.0,0.0,0.0,0.0,1.02,0.4,0.0,0.4,6.74,7.47,Matches
50,50,Steven Bergwijn,"FW,MF",nl Netherlands,26-264,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
52,51,Etrit Berisha,GK,al Albania,35-110,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
53,52,Medon Berisha,MF,al Albania,20-251,2003,1,21.0,21.0,7.8,0.2,0,,0,1,21.0,2,0.0,0.0,0.0,0.0,0.0,0.72,0.2,0.2,0.0,-0.01,1.15,Matches
54,53,Victor Bernth Kristiansen,"DF,MF",dk Denmark,21-195,2002,3,147.0,49.0,54.4,1.6,2,67.0,0,1,14.0,0,1.0,2.0,2.0,0.0,0.0,0.0,1.9,1.6,0.3,0.21,-0.22,Matches
55,54,Matúš Bero,MF,sk Slovakia,28-296,1995,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,Matches
56,55,Justin Bijlow,GK,nl Netherlands,26-158,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
57,56,Jaka Bijol,DF,si Slovenia,25-144,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,2.6,4.1,-1.5,-0.5,,Matches
58,57,Daniel Birligea,FW,ro Romania,24-070,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
59,58,Veljko Birmančević,DF,rs Serbia,26-115,1998,2,26.0,13.0,9.6,0.3,0,,0,2,13.0,1,0.5,1.0,0.0,1.0,3.46,4.2,0.4,0.2,0.2,0.79,1.05,Matches
60,59,Miha Blažič,DF,si Slovenia,31-051,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
61,60,Daley Blind,"DF,MF",nl Netherlands,34-111,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
62,61,Bendegúz Bolla,DF,hu Hungary,24-219,1999,3,209.0,70.0,77.4,2.3,2,82.0,1,1,45.0,0,1.0,1.0,3.0,-2.0,-0.86,0.61,2.2,2.2,0.0,0.0,0.3,Matches
63,62,Valerii Bondar,DF,ua Ukraine,25-122,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
64,63,Endre Botka,DF,hu Hungary,29-308,1994,1,85.0,85.0,31.5,0.9,1,85.0,0,0,,2,3.0,1.0,0.0,1.0,1.06,3.0,1.2,0.2,1.1,1.05,1.69,Matches
65,64,Jarrod Bowen,FW,eng England,27-191,1996,2,37.0,19.0,13.7,0.4,0,,0,2,19.0,1,2.0,0.0,0.0,0.0,0.0,-0.39,0.4,0.6,-0.2,-0.51,-0.98,Matches
66,65,Róbert Boženík,FW,sk Slovakia,24-223,1999,3,149.0,50.0,55.2,1.7,2,64.0,0,1,21.0,0,1.33,2.0,1.0,1.0,0.6,1.35,1.1,2.5,-1.5,-0.89,-0.49,Matches
67,66,Volodymyr Brazhko,MF,ua Ukraine,22-157,2002,3,182.0,61.0,67.4,2.0,2,77.0,0,1,29.0,0,1.33,2.0,1.0,1.0,0.49,3.56,2.2,1.4,0.9,0.43,1.09,Matches
68,67,David Brekalo,MF,si Slovenia,25-208,1998,2,2.0,1.0,0.7,0.0,0,,0,2,1.0,1,1.0,0.0,1.0,-1.0,-45.0,-45.34,0.0,0.2,-0.2,-10.78,-10.36,Matches
69,68,Brian Brobbey,FW,nl Netherlands,22-148,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
70,69,Armando Broja,FW,al Albania,22-292,2001,2,108.0,54.0,40.0,1.2,1,76.0,0,1,32.0,1,0.0,1.0,2.0,-1.0,-0.83,-0.28,0.7,1.8,-1.1,-0.92,0.26,Matches
71,70,Marcelo Brozović,MF,hr Croatia,31-225,1992,3,225.0,75.0,83.3,2.5,3,75.0,2,0,,0,0.67,1.0,5.0,-4.0,-1.6,-3.6,3.3,3.8,-0.5,-0.19,-3.78,Matches
