,Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
143,139,Denis Drăguș,FW,ro Romania,24-358,1999,3,220.0,73.0,81.5,2.4,3,73.0,0,0,,0,1.33,4.0,3.0,1.0,0.41,0.41,2.8,2.7,0.2,0.07,0.58,Matches
144,140,Radu Drăgușin,DF,ro Romania,22-146,2002,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,3.0,1.0,0.33,,3.2,3.3,-0.1,-0.04,,Matches
145,141,Anders Dreyer,"FW,MF",dk Denmark,26-057,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
146,142,Vanja Drkušič,DF,si Slovenia,24-242,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,2.6,4.1,-1.5,-0.5,,Matches
147,143,Kwadwo Duah,FW,ch Switzerland,27-125,1997,2,93.0,47.0,34.4,1.0,1,67.0,0,1,26.0,1,2.0,2.0,2.0,0.0,0.0,-1.02,1.5,2.0,-0.5,-0.48,-0.98,Matches
148,144,Martin Dúbravka,GK,sk Slovakia,35-165,1989,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,,2.3,4.3,-2.0,-0.67,,Matches
149,145,Ondrej Duda,MF,sk Slovakia,29-206,1994,3,237.0,79.0,87.8,2.6,3,79.0,0,0,,0,1.33,3.0,2.0,1.0,0.38,3.11,2.0,3.9,-1.9,-0.71,-0.32,Matches
150,146,Denzel Dumfries,"DF,FW",nl Netherlands,28-071,1996,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,2.0,2.0,1.0,1.0,0.5,1.5,1.9,2.7,-0.8,-0.41,-1.22,Matches
151,147,Lewis Dunk,DF,eng England,32-220,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
152,148,Dávid Ďuriš,"FW,MF",sk Slovakia,25-098,1999,2,23.0,12.0,8.5,0.3,0,,0,2,12.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.35,0.35,Matches
153,149,Lasha Dvali,DF,ge Georgia,29-045,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,4.0,0.0,0.0,,4.1,8.0,-3.9,-1.31,,Matches
154,150,Timi Elšnik,MF,si Slovenia,26-060,1998,3,254.0,85.0,94.1,2.8,3,85.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,2.2,3.8,-1.6,-0.58,-1.27,Matches
156,151,Nico Elvedi,DF,ch Switzerland,27-272,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
157,152,Breel Embolo,"FW,MF",ch Switzerland,27-135,1997,3,112.0,37.0,41.5,1.2,1,64.0,0,2,24.0,0,1.67,2.0,0.0,2.0,1.61,1.61,1.5,1.3,0.2,0.17,0.01,Matches
158,153,Maximilian Entrup,FW,at Austria,26-339,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
159,154,Christian Eriksen,"MF,FW",dk Denmark,32-135,1992,3,258.0,86.0,95.6,2.9,3,86.0,1,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,2.7,2.1,0.6,0.21,-2.23,Matches
160,155,Martin Erlic,DF,hr Croatia,26-156,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
161,156,Eberechi Eze,FW,eng England,25-365,1998,1,22.0,22.0,8.1,0.2,0,,0,1,22.0,2,1.0,0.0,0.0,0.0,0.0,-0.36,0.2,0.5,-0.3,-1.27,-1.75,Matches
162,157,Wout Faes,DF,be Belgium,26-086,1998,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,2.0,1.0,1.0,0.33,,4.2,2.3,1.9,0.64,,Matches
163,158,Nicolò Fagioli,MF,it Italy,23-137,2001,1,10.0,10.0,3.7,0.1,0,,0,1,10.0,2,1.0,1.0,0.0,1.0,9.0,9.35,0.1,0.0,0.1,0.84,1.18,Matches
164,159,João Félix,MF,pt Portugal,24-231,1999,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,0.0,0.0,2.0,-2.0,-2.0,-4.0,2.0,1.6,0.3,0.35,-0.95,Matches
165,160,Bruno Fernandes,MF,pt Portugal,29-294,1994,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,3.0,5.0,1.0,4.0,2.0,4.0,3.7,1.1,2.6,1.29,0.95,Matches
166,161,Attila Fiola,DF,hu Hungary,34-132,1990,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,5.0,-4.0,-2.0,-3.0,2.4,3.7,-1.3,-0.63,-1.69,Matches
167,162,Mark Flekken,GK,nl Netherlands,31-015,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
168,163,Phil Foden,FW,eng England,24-031,2000,3,246.0,82.0,91.1,2.7,3,82.0,1,0,,0,1.67,2.0,1.0,1.0,0.37,0.37,1.9,0.7,1.3,0.47,1.38,Matches
169,164,Youssouf Fofana,MF,fr France,25-170,1999,2,11.0,6.0,4.1,0.1,0,,0,2,6.0,1,2.0,0.0,0.0,0.0,0.0,-0.35,0.2,0.0,0.2,1.46,0.37,Matches
170,165,Michael Folorunsho,FW,it Italy,26-142,1998,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.78,-3.5,Matches
171,166,James Forrest,"FW,MF",sct Scotland,32-357,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
172,167,Przemysław Frankowski,DF,pl Poland,29-077,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,6.0,-3.0,-1.0,,4.1,5.9,-1.8,-0.6,,Matches
173,168,Davide Frattesi,MF,it Italy,24-250,1999,3,180.0,60.0,66.7,2.0,2,68.0,1,1,45.0,0,1.33,3.0,2.0,1.0,0.5,1.5,2.0,2.3,-0.3,-0.15,0.41,Matches
174,169,Remo Freuler,MF,ch Switzerland,32-074,1992,3,249.0,83.0,92.2,2.8,3,83.0,1,0,,0,1.67,4.0,3.0,1.0,0.36,-3.92,3.2,3.3,-0.2,-0.05,-2.81,Matches
175,170,Jeremie Frimpong,FW,nl Netherlands,23-201,2000,2,82.0,41.0,30.4,0.9,1,72.0,0,1,10.0,1,2.0,1.0,0.0,1.0,1.1,1.58,0.6,1.8,-1.2,-1.28,-1.84,Matches
176,171,Chris Führich,FW,de Germany,26-171,1998,1,19.0,19.0,7.0,0.2,0,,0,1,19.0,2,3.0,0.0,0.0,0.0,0.0,-2.15,0.5,0.3,0.2,0.91,-0.17,Matches
177,172,Niclas Füllkrug,FW,de Germany,31-140,1993,3,76.0,25.0,28.1,0.8,0,,0,3,25.0,0,2.33,4.0,1.0,3.0,3.55,2.16,1.5,0.6,0.9,1.06,-0.01,Matches
178,173,Mijat Gaćinović,DF,rs Serbia,29-141,1995,1,45.0,45.0,16.7,0.5,0,,0,1,45.0,2,1.0,1.0,1.0,0.0,0.0,0.4,1.1,0.5,0.5,1.07,1.47,Matches
179,174,Cody Gakpo,FW,nl Netherlands,25-052,1999,3,260.0,87.0,96.3,2.9,3,87.0,2,0,,0,1.33,3.0,4.0,-1.0,-0.35,-9.35,3.5,3.3,0.2,0.09,2.28,Matches
180,175,Conor Gallagher,MF,eng England,24-143,2000,3,104.0,35.0,38.5,1.2,1,45.0,0,2,30.0,0,1.67,0.0,0.0,0.0,0.0,-0.54,1.2,0.7,0.4,0.35,0.01,Matches
182,176,Federico Gatti,DF,it Italy,26-004,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
183,177,Dániel Gazdag,MF,hu Hungary,28-118,1996,1,4.0,4.0,1.5,0.0,0,,0,1,4.0,2,0.0,0.0,0.0,0.0,0.0,1.02,0.3,0.1,0.2,3.88,4.01,Matches
184,178,Lutsharel Geertruida,DF,nl Netherlands,23-346,2000,2,108.0,54.0,40.0,1.2,1,90.0,1,1,18.0,1,0.5,2.0,3.0,-1.0,-0.83,-1.39,1.7,0.9,0.8,0.67,1.11,Matches
185,179,Billy Gilmour,MF,sct Scotland,23-017,2001,3,184.0,61.0,68.1,2.0,2,80.0,0,1,24.0,0,0.33,2.0,3.0,-1.0,-0.49,3.7,0.6,1.7,-1.1,-0.55,1.91,Matches
186,180,Olivier Giroud,FW,fr France,37-272,1986,3,47.0,16.0,17.4,0.5,0,,0,3,16.0,0,1.67,0.0,1.0,-1.0,-1.91,-2.72,0.3,0.9,-0.6,-1.05,-2.61,Matches
187,181,Klaus Gjasula,MF,al Albania,34-197,1989,1,19.0,19.0,7.0,0.2,0,,0,1,19.0,2,1.0,1.0,2.0,-1.0,-4.74,-4.38,0.5,1.2,-0.7,-3.44,-2.54,Matches
188,182,Adam Gnezda Čerin,MF,si Slovenia,24-348,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,2.6,4.1,-1.5,-0.5,,Matches
189,183,Giorgi Gocholeishvili,DF,ge Georgia,23-135,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
190,184,Joe Gomez,DF,eng England,27-036,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
191,185,Anthony Gordon,FW,eng England,23-125,2001,1,2.0,2.0,0.7,0.0,0,,0,1,2.0,2,1.0,0.0,0.0,0.0,0.0,-0.34,0.1,0.0,0.1,2.94,2.61,Matches
192,186,Jon Gorenc Stanković,MF,si Slovenia,28-166,1996,3,47.0,16.0,17.4,0.5,0,,0,3,16.0,0,1.0,2.0,1.0,1.0,1.91,2.32,0.9,0.8,0.1,0.22,0.87,Matches
193,187,Ryan Gravenberch,MF,nl Netherlands,22-043,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
194,188,Michael Gregoritsch,FW,at Austria,30-071,1994,3,81.0,27.0,30.0,0.9,1,58.0,0,2,12.0,0,2.0,1.0,1.0,0.0,0.0,-0.95,1.2,1.3,-0.1,-0.13,0.54,Matches
195,189,Antoine Griezmann,"MF,FW",fr France,33-099,1991,3,209.0,70.0,77.4,2.3,2,90.0,1,1,30.0,0,1.67,1.0,1.0,0.0,0.0,-1.48,3.7,2.1,1.6,0.7,-1.79,Matches
196,190,Florian Grillitsch,MF,at Austria,28-326,1995,3,167.0,56.0,61.9,1.9,3,56.0,0,0,,0,2.0,3.0,3.0,0.0,0.0,-1.75,1.9,3.5,-1.5,-0.83,-0.85,Matches
197,191,Álex Grimaldo,DF,es Spain,28-282,1995,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,-1.0,1.5,0.5,1.0,1.02,0.15,Matches
198,192,Pascal Groß,MF,de Germany,33-013,1991,1,45.0,45.0,16.7,0.5,0,,0,1,45.0,2,3.0,2.0,1.0,1.0,2.0,0.0,0.8,0.0,0.8,1.63,0.67,Matches
199,193,Kamil Grosicki,MF,pl Poland,36-020,1988,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,0.0,0.0,1.0,-1.0,-5.63,-4.92,0.3,1.2,-0.9,-5.31,-5.01,Matches
200,194,Marco Grüll,"FW,MF",at Austria,25-358,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
201,195,Nemanja Gudelj,MF,rs Serbia,32-225,1991,2,90.0,45.0,33.3,1.0,2,45.0,0,0,,1,0.5,0.0,1.0,-1.0,-1.0,-1.0,0.1,0.8,-0.7,-0.7,-0.82,Matches
202,196,Marc Guéhi,DF,eng England,23-351,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,2.2,1.1,1.0,0.34,,Matches
203,197,Luka Gugeshashvili,GK,ge Georgia,25-060,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
204,198,Péter Gulácsi,GK,hu Hungary,34-053,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,5.0,-3.0,-1.0,,3.7,3.9,-0.2,-0.07,,Matches
205,199,Arda Güler,FW,tr Türkiye,19-124,2005,3,173.0,58.0,64.1,1.9,2,76.0,0,1,21.0,0,2.0,3.0,2.0,1.0,0.52,1.45,3.1,2.7,0.4,0.19,0.29,Matches
206,200,İlkay Gündoğan,MF,de Germany,33-248,1990,3,263.0,88.0,97.4,2.9,3,88.0,2,0,,0,2.33,8.0,2.0,6.0,2.05,2.05,4.8,1.5,3.2,1.11,1.54,Matches
208,201,Angus Gunn,GK,sct Scotland,28-158,1996,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,7.0,-5.0,-1.67,,0.9,4.4,-3.5,-1.16,,Matches
209,202,Mert Günok,GK,tr Türkiye,35-119,1989,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,0,3.0,5.0,2.0,3.0,1.5,4.5,4.4,3.0,1.4,0.71,1.86,Matches
210,203,Joško Gvardiol,DF,hr Croatia,22-157,2002,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,3.0,6.0,-3.0,-1.0,,5.7,4.4,1.3,0.44,,Matches
211,204,Giorgi Gwelesiani,DF,ge Georgia,33-054,1991,2,84.0,42.0,31.1,0.9,1,75.0,0,1,9.0,1,2.0,2.0,0.0,2.0,2.14,3.11,,,,,,Matches
212,205,Norbert Gyömbér,DF,sk Slovakia,31-361,1992,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,Matches
213,206,Ianis Hagi,MF,ro Romania,25-250,1998,3,117.0,39.0,43.3,1.3,1,65.0,0,2,26.0,0,1.33,1.0,2.0,-1.0,-0.77,-1.95,1.7,1.9,-0.2,-0.15,-0.19,Matches
214,207,Dávid Hancko,DF,sk Slovakia,26-198,1997,3,246.0,82.0,91.1,2.7,3,82.0,2,0,,0,1.33,3.0,2.0,1.0,0.37,4.12,2.0,3.9,-1.9,-0.68,-0.15,Matches
215,208,Grant Hanley,DF,sct Scotland,32-221,1991,3,225.0,75.0,83.3,2.5,2,90.0,2,1,45.0,0,0.33,2.0,4.0,-2.0,-0.8,5.2,0.9,3.2,-2.3,-0.9,1.55,Matches
216,209,Lukáš Haraslín,FW,sk Slovakia,28-033,1996,3,204.0,68.0,75.6,2.3,3,68.0,0,0,,0,1.33,3.0,2.0,1.0,0.44,1.8,1.9,3.7,-1.8,-0.81,-0.57,Matches
217,210,Kai Havertz,FW,de Germany,25-017,1999,3,209.0,70.0,77.4,2.3,3,70.0,1,0,,0,2.33,5.0,1.0,4.0,1.72,-1.23,3.8,1.2,2.6,1.12,0.24,Matches
218,211,Niklas Hedl,GK,at Austria,23-103,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
219,212,Dean Henderson,GK,eng England,27-108,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
220,213,Jack Hendry,DF,sct Scotland,29-052,1995,3,261.0,87.0,96.7,2.9,3,87.0,2,0,,0,0.33,2.0,7.0,-5.0,-1.72,-1.72,0.9,4.4,-3.5,-1.16,,Matches
221,214,Benjamin Henrichs,"DF,MF",de Germany,27-126,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
222,215,Mads Hermansen,GK,dk Denmark,23-353,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
223,216,Theo Hernández,DF,fr France,26-266,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,5.7,2.4,3.3,1.1,,Matches
224,217,Morten Hjulmand,MF,dk Denmark,25-003,1999,3,245.0,82.0,90.7,2.7,3,82.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,2.7,2.0,0.7,0.26,-0.58,Matches
225,218,Adam Hložek,MF,cz Czechia,21-339,2002,2,108.0,54.0,40.0,1.2,2,54.0,0,0,,1,0.5,0.0,2.0,-2.0,-1.67,-1.67,2.3,1.6,0.7,0.58,0.57,Matches
226,219,Tomáš Holeš,DF,cz Czechia,31-089,1993,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.33,3.0,5.0,-2.0,-0.67,-0.67,5.1,4.3,0.7,0.24,0.24,Matches
227,220,Tomi Horvat,"FW,MF",si Slovenia,25-096,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
228,221,Krisztofer Horváth,MF,hu Hungary,22-172,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
229,222,Arbër Hoxha,"FW,MF",al Albania,25-266,1998,3,50.0,17.0,18.5,0.6,0,,0,3,17.0,0,0.33,1.0,0.0,1.0,1.8,3.03,1.0,0.5,0.5,0.93,2.45,Matches
230,223,Robin Hranáč,DF,cz Czechia,24-151,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,5.1,4.3,0.7,0.24,,Matches
231,224,Patrik Hrošovský,MF,sk Slovakia,32-067,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
232,225,Elseid Hysaj,DF,al Albania,30-129,1994,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.5,3.0,4.0,-1.0,-0.5,0.5,2.0,4.2,-2.2,-1.1,-0.07,Matches
234,226,Pierre Højbjerg,MF,dk Denmark,28-328,1995,3,263.0,88.0,97.4,2.9,3,88.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,3.1,2.2,0.9,0.31,-0.01,Matches
235,227,Rasmus Højlund,FW,dk Denmark,21-145,2003,3,206.0,69.0,76.3,2.3,3,69.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,2.5,1.8,0.7,0.3,-0.02,Matches
236,228,Ivan Ilić,MF,rs Serbia,23-103,2001,3,201.0,67.0,74.4,2.2,2,78.0,1,1,45.0,0,0.67,1.0,1.0,0.0,0.0,1.3,1.8,2.3,-0.5,-0.21,-0.2,Matches
237,229,Josip Iličić,FW,si Slovenia,36-151,1988,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.6,-0.11,Matches
238,230,Gonçalo Inácio,DF,pt Portugal,22-308,2001,2,118.0,59.0,43.7,1.3,1,90.0,1,1,28.0,1,1.5,2.0,2.0,0.0,0.0,-1.18,2.8,1.9,1.0,0.73,-0.45,Matches
239,231,Ardian Ismajli,DF,al Albania,27-272,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
240,232,Luka Ivanušec,MF,hr Croatia,25-215,1998,1,21.0,21.0,7.8,0.2,0,,0,1,21.0,2,1.0,0.0,1.0,-1.0,-4.29,-3.56,0.0,0.3,-0.3,-1.21,-1.8,Matches
241,233,Ivica Ivušić,GK,hr Croatia,29-148,1995,0,,,0.0,0.0,0,,0,0,,2,1.0,2.0,2.0,0.0,,,,,,,,Matches
242,234,Ryan Jack,"DF,MF",sct Scotland,32-122,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
243,235,Erik Janža,DF,si Slovenia,31-007,1993,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,2.6,4.0,-1.4,-0.48,5.4,Matches
244,236,Vitezslav Jaros,GK,cz Czechia,22-341,2001,0,,,0.0,0.0,0,,0,0,,2,0.0,1.0,2.0,-1.0,,,,,,,,Matches
245,237,Ardon Jashari,MF,ch Switzerland,21-334,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
246,238,Mathias Jensen,MF,dk Denmark,28-179,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
247,239,Jorginho,MF,it Italy,32-191,1991,3,215.0,72.0,79.6,2.4,3,72.0,1,0,,0,1.33,2.0,2.0,0.0,0.0,0.0,2.4,2.4,0.0,-0.01,1.37,Matches
248,240,Joselu,FW,es Spain,34-093,1990,1,71.0,71.0,26.3,0.8,1,71.0,0,0,,2,3.0,1.0,0.0,1.0,1.27,-0.54,1.3,0.2,1.0,1.29,0.51,Matches
249,241,Diogo Jota,"FW,MF",pt Portugal,27-207,1996,2,44.0,22.0,16.3,0.5,0,,0,2,22.0,1,1.5,2.0,0.0,2.0,4.09,4.09,2.0,0.3,1.7,3.47,2.98,Matches
250,242,Luka Jović,"MF,FW",rs Serbia,26-188,1997,3,102.0,34.0,37.8,1.1,0,,0,3,34.0,0,0.67,1.0,1.0,0.0,0.0,0.54,1.0,0.9,0.2,0.16,0.5,Matches
251,243,Josip Juranović,DF,hr Croatia,28-317,1995,2,91.0,46.0,33.7,1.0,1,90.0,1,1,1.0,1,1.0,2.0,3.0,-1.0,-0.99,0.02,2.6,1.6,1.1,1.06,0.93,Matches
252,244,David Jurásek,DF,cz Czechia,23-326,2000,2,160.0,80.0,59.3,1.8,2,80.0,0,0,,1,0.5,2.0,2.0,0.0,0.0,1.64,4.6,1.9,2.7,1.5,3.11,Matches
253,245,Matěj Jurásek,"DF,MF",cz Czechia,20-303,2003,2,46.0,23.0,17.0,0.5,0,,0,2,23.0,1,0.5,1.0,1.0,0.0,0.0,0.8,1.4,0.7,0.7,1.32,1.3,Matches
254,246,Mathias Jørgensen,DF,dk Denmark,34-066,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
255,247,Ferdi Kadioglu,DF,tr Türkiye,24-265,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.0,5.0,5.0,0.0,0.0,,5.1,4.8,0.3,0.09,,Matches
256,248,İrfan Kahveci,MF,tr Türkiye,28-349,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
257,249,Florian Kainz,"FW,MF",at Austria,31-248,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
258,250,Otar Kakabadze,"DF,MF",ge Georgia,29-001,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,4.0,0.0,0.0,,4.1,8.0,-3.9,-1.31,,Matches
260,251,Thomas Kaminski,GK,be Belgium,31-249,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
261,252,Harry Kane,FW,eng England,30-336,1993,3,248.0,83.0,91.9,2.8,3,83.0,2,0,,0,1.67,2.0,1.0,1.0,0.36,0.36,2.0,0.7,1.3,0.48,1.81,Matches
262,253,N'Golo Kanté,MF,fr France,33-091,1991,3,240.0,80.0,88.9,2.7,3,80.0,2,0,,0,1.67,2.0,0.0,2.0,0.75,3.75,5.4,1.6,3.9,1.45,3.14,Matches
263,254,Ahmetcan Kaplan,DF,tr Türkiye,21-164,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
264,255,Žan Karničnik,DF,si Slovenia,29-284,1994,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,,2.6,4.1,-1.5,-0.5,,Matches
265,256,Guram Kashia,DF,ge Georgia,36-360,1987,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,4.0,0.0,0.0,,4.1,8.0,-3.9,-1.31,,Matches
266,257,Elhan Kastrati,GK,al Albania,27-147,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
267,258,Mihály Kata,MF,hu Hungary,22-076,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
268,259,Liam Kelly,GK,sct Scotland,28-157,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
269,260,Milos Kerkez,DF,hu Hungary,20-234,2003,3,237.0,79.0,87.8,2.6,3,79.0,0,0,,0,1.0,1.0,4.0,-3.0,-1.14,-1.14,2.6,2.7,-0.1,-0.03,0.36,Matches
270,261,Semih Kılıçsoy,FW,tr Türkiye,18-318,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
271,262,Joshua Kimmich,DF,de Germany,29-141,1995,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,2.33,8.0,2.0,6.0,2.0,,5.0,1.8,3.2,1.07,,Matches
272,263,Otar Kiteishvili,MF,ge Georgia,28-094,1996,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,2,3.0,2.0,0.0,2.0,2.0,3.0,1.6,2.0,-0.3,-0.35,1.44,Matches
273,264,Jakub Kiwior,DF,pl Poland,24-134,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,6.0,-3.0,-1.0,,4.1,5.9,-1.8,-0.6,,Matches
274,265,Simon Kjær,DF,dk Denmark,35-094,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
275,266,László Kleinheisler,MF,hu Hungary,30-081,1994,2,51.0,26.0,18.9,0.6,0,,0,2,26.0,0,1.0,1.0,2.0,-1.0,-1.76,-0.94,0.3,1.6,-1.3,-2.29,-2.73,Matches
276,267,Gregor Kobel,GK,ch Switzerland,26-205,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
277,268,Robin Koch,"DF,MF",de Germany,27-347,1996,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
278,269,Giorgi Kochorashvili,MF,ge Georgia,24-365,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,4.0,4.0,0.0,0.0,,4.1,8.0,-3.9,-1.31,,Matches
279,270,Orkun Kökçü,MF,tr Türkiye,23-182,2000,3,139.0,46.0,51.5,1.5,2,68.0,1,1,4.0,0,2.0,4.0,3.0,1.0,0.65,1.33,4.0,2.0,2.0,1.28,2.45,Matches
280,271,Randal Kolo Muani,FW,fr France,25-206,1998,2,25.0,13.0,9.3,0.3,0,,0,2,13.0,1,2.0,0.0,0.0,0.0,0.0,-0.37,0.3,0.2,0.1,0.47,-0.7,Matches
281,272,Ibrahima Konaté,DF,fr France,25-034,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
282,273,Yukhym Konoplia,DF,ua Ukraine,24-307,1999,1,71.0,71.0,26.3,0.8,1,71.0,0,0,,2,0.0,0.0,3.0,-3.0,-3.8,-4.26,0.4,1.1,-0.7,-0.92,-1.34,Matches
283,274,Ezri Konsa,"DF,FW",eng England,26-249,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
284,275,Sebastián Kóša,DF,sk Slovakia,20-289,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
286,276,Filip Kostić,DF,rs Serbia,31-240,1992,1,42.0,42.0,15.6,0.5,1,42.0,0,0,,1,0.0,0.0,1.0,-1.0,-2.14,-2.14,0.1,0.3,-0.2,-0.48,-0.39,Matches
287,277,Jules Koundé,DF,fr France,25-229,1998,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.67,2.0,1.0,1.0,0.33,,5.7,2.4,3.3,1.1,,Matches
288,278,Mateo Kovačić,MF,hr Croatia,30-053,1994,3,223.0,74.0,82.6,2.5,3,74.0,1,0,,0,0.67,3.0,5.0,-2.0,-0.81,1.11,4.8,4.0,0.8,0.33,-0.65,Matches
289,279,Matej Kovar,GK,cz Czechia,24-042,2000,1,36.0,36.0,13.3,0.4,0,,0,1,36.0,2,0.0,1.0,1.0,0.0,0.0,0.77,1.0,0.6,0.4,1.02,0.9,Matches
290,280,Andrej Kramarić,FW,hr Croatia,33-009,1991,3,243.0,81.0,90.0,2.7,3,81.0,0,0,,0,0.67,3.0,4.0,-1.0,-0.37,6.3,4.6,3.7,0.9,0.32,-1.19,Matches
291,281,Ladislav Krejčí,DF,cz Czechia,25-069,1999,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,5.1,4.3,0.7,0.24,,Matches
