,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
114,111,Artem Dovbyk,FW,ua Ukraine,27-017,1997,2.7,0,6,0,0.0,2.2,0.0,0.0,,14.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
115,112,Denis Drăguș,FW,ro Romania,25-002,1999,3.2,1,5,2,40.0,1.55,0.62,0.2,0.5,15.6,0,0,0,1.1,1.1,0.21,-0.1,-0.1,Matches
116,113,Radu Drăgușin,DF,ro Romania,22-156,2002,4.0,0,3,1,33.3,0.75,0.25,0.0,0.0,17.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
117,114,Vanja Drkušič,DF,si Slovenia,24-252,1999,4.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,115,Kwadwo Duah,FW,ch Switzerland,27-135,1997,1.2,1,4,3,75.0,3.36,2.52,0.25,0.33,16.0,0,0,0,0.7,0.7,0.18,0.3,0.3,Matches
119,116,Martin Dúbravka,GK,sk Slovakia,35-175,1989,4.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,117,Ondrej Duda,MF,sk Slovakia,29-216,1994,3.5,1,2,1,50.0,0.57,0.28,0.5,1.0,15.6,0,0,0,0.3,0.3,0.13,0.7,0.7,Matches
121,118,Denzel Dumfries,DF,nl Netherlands,28-081,1996,4.0,0,2,0,0.0,0.5,0.0,0.0,,11.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
122,119,Dávid Ďuriš,"FW,MF",sk Slovakia,25-108,1999,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,120,Lasha Dvali,DF,ge Georgia,29-055,1995,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
