,Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
239,231,Rafael Leão,FW,pt Portugal,25-028,1999,3.2,0,3,0,0.0,0.94,0.0,0.0,,13.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
240,232,Robert Lewandowski,FW,pl Poland,35-322,1988,1.3,1,4,0,0.0,2.98,0.0,0.0,,24.4,0,1,1,1.0,0.2,0.04,0.0,-0.2,Matches
241,233,Philipp Lienhart,DF,at Austria,27-363,1996,2.4,0,2,0,0.0,0.84,0.0,0.0,,11.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
242,234,Ondřej Lingr,"MF,FW",cz Czechia,25-275,1998,0.9,0,5,1,20.0,5.42,1.08,0.0,0.0,10.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
243,235,Dominik Livaković,GK,hr Croatia,29-181,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
244,236,Stanislav Lobotka,MF,sk Slovakia,29-226,1994,4.3,0,1,1,100.0,0.23,0.23,0.0,0.0,31.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
245,237,Saba Lobzhanidze,FW,ge Georgia,29-203,1994,0.1,0,1,0,0.0,10.0,0.0,0.0,,13.9,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
246,238,Luka Lochoshvili,"DF,MF",ge Georgia,26-040,1998,1.9,0,1,0,0.0,0.53,0.0,0.0,,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
247,239,Fermin López,MF,es Spain,21-058,2003,0.3,0,2,0,0.0,6.21,0.0,0.0,,26.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
248,240,Romelu Lukaku,FW,be Belgium,31-056,1993,4.0,0,11,8,72.7,2.76,2.01,0.0,0.0,11.3,0,0,0,1.7,1.7,0.15,-1.7,-1.7,Matches
249,241,Dodi Lukebakio,"FW,DF",be Belgium,26-288,1997,0.7,0,3,1,33.3,4.15,1.38,0.0,0.0,15.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
250,242,Saša Lukić,MF,rs Serbia,27-330,1996,2.3,0,1,0,0.0,0.43,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
251,243,Andriy Lunin,GK,ua Ukraine,25-148,1999,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
252,244,Mike Maignan,GK,fr France,29-005,1995,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
253,245,Kobbie Mainoo,MF,eng England,19-080,2005,2.3,0,4,0,0.0,1.71,0.0,0.0,,19.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
254,246,Lovro Majer,"FW,MF",hr Croatia,26-173,1998,1.6,0,2,0,0.0,1.23,0.0,0.0,,9.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
255,247,Donyell Malen,FW,nl Netherlands,25-181,1999,1.6,2,5,2,40.0,3.1,1.24,0.4,1.0,10.2,0,0,0,1.8,1.8,0.36,0.2,0.2,Matches
256,248,Ruslan Malinovskyi,MF,ua Ukraine,31-065,1993,0.4,0,1,0,0.0,2.57,0.0,0.0,,24.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
257,249,Giorgi Mamardashvili,GK,ge Georgia,23-283,2000,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
258,250,Dennis Man,MF,ro Romania,25-317,1998,3.0,0,6,3,50.0,2.03,1.02,0.0,0.0,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
260,251,Rey Manaj,FW,al Albania,27-135,1997,1.7,0,3,1,33.3,1.73,0.58,0.0,0.0,10.4,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
261,252,Gianluca Mancini,DF,it Italy,28-082,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
262,253,Orel Mangala,MF,be Belgium,26-112,1998,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
263,254,Marius Marin,MF,ro Romania,25-313,1998,3.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,255,Răzvan Marin,MF,ro Romania,28-046,1996,3.9,2,5,2,40.0,1.27,0.51,0.2,0.5,31.9,1,1,1,0.9,0.1,0.03,1.1,0.9,Matches
265,256,Ádám Martin,"FW,DF",hu Hungary,29-245,1994,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
266,257,Mykola Matviyenko,DF,ua Ukraine,28-067,1996,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
267,258,Kylian Mbappé,FW,fr France,25-201,1998,4.2,1,19,7,36.8,4.57,1.68,0.0,0.0,16.9,0,1,1,2.7,1.9,0.1,-1.7,-1.9,Matches
268,259,John McGinn,"MF,FW",sct Scotland,29-264,1994,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
269,260,Callum McGregor,MF,sct Scotland,31-024,1993,2.7,0,3,0,0.0,1.1,0.0,0.0,,20.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
270,261,Scott McKenna,DF,sct Scotland,27-239,1996,1.5,0,2,0,0.0,1.34,0.0,0.0,,14.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
271,262,Kenny McLean,MF,sct Scotland,32-182,1992,0.5,0,1,1,100.0,2.05,2.05,0.0,0.0,24.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
272,263,Scott McTominay,MF,sct Scotland,27-213,1996,3.0,1,4,1,25.0,1.33,0.33,0.25,1.0,14.2,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
273,264,Anzor Mekvabishvili,MF,ge Georgia,23-033,2001,2.1,0,2,1,50.0,0.96,0.48,0.0,0.0,25.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
274,265,Memphis,"FW,MF",nl Netherlands,30-146,1994,4.7,1,17,3,17.6,3.62,0.64,0.06,0.33,16.8,2,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
275,266,Nuno Mendes,DF,pt Portugal,22-019,2002,4.7,0,3,2,66.7,0.64,0.43,0.0,0.0,19.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
276,267,Mikel Merino,"MF,FW",es Spain,28-016,1996,1.8,1,3,2,66.7,1.64,1.09,0.33,0.5,10.7,0,0,0,0.6,0.6,0.2,0.4,0.4,Matches
277,268,Valentin Mihaila,MF,ro Romania,24-157,2000,1.3,0,4,0,0.0,3.13,0.0,0.0,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
278,269,Srđan Mijailović,DF,rs Serbia,30-241,1993,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
279,270,Georges Mikautadze,FW,ge Georgia,23-251,2000,3.8,3,4,1,25.0,1.04,0.26,0.25,1.0,19.9,0,2,2,2.3,0.7,0.17,0.7,0.3,Matches
280,271,Nikola Milenković,DF,rs Serbia,26-270,1997,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
281,272,Sergej Milinković-Savić,MF,rs Serbia,29-132,1995,1.3,0,3,1,33.3,2.23,0.74,0.0,0.0,19.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
282,273,Mario Mitaj,DF,al Albania,20-337,2003,3.0,0,1,0,0.0,0.33,0.0,0.0,,22.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
283,274,Aleksandar Mitrović,FW,rs Serbia,29-296,1994,2.7,0,10,2,20.0,3.75,0.75,0.0,0.0,10.9,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches
284,275,Maximilian Mittelstädt,DF,de Germany,27-112,1997,3.4,0,5,0,0.0,1.48,0.0,0.0,,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
286,276,Filip Mladenović,DF,rs Serbia,32-328,1991,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
287,277,Jan Mlakar,MF,si Slovenia,25-259,1998,3.3,0,2,1,50.0,0.61,0.31,0.0,0.0,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
288,278,Jakub Moder,MF,pl Poland,25-092,1999,2.0,0,4,1,25.0,2.0,0.5,0.0,0.0,19.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
289,279,Luka Modrić,MF,hr Croatia,38-303,1985,2.6,1,4,1,25.0,1.55,0.39,0.25,1.0,24.1,0,0,1,1.0,0.1,0.02,0.0,0.9,Matches
290,280,Vasile Mogos,DF,ro Romania,31-251,1992,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
291,281,Álvaro Morata,FW,es Spain,31-259,1992,3.4,1,11,4,36.4,3.22,1.17,0.09,0.25,16.6,0,0,0,1.2,1.2,0.11,-0.2,-0.2,Matches
292,282,Lewis Morgan,DF,sct Scotland,27-282,1996,0.0,0,1,0,0.0,45.0,0.0,0.0,,16.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
293,283,Ernest Muçi,FW,al Albania,23-111,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
294,284,Mykhailo Mudryk,"FW,MF",ua Ukraine,23-185,2001,1.9,0,6,2,33.3,3.1,1.03,0.0,0.0,19.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
295,285,Mert Müldür,"DF,MF",tr Türkiye,25-096,1999,3.8,1,3,2,66.7,0.78,0.52,0.33,0.5,17.4,0,0,0,0.6,0.6,0.18,0.4,0.4,Matches
296,286,Thomas Müller,"MF,FW",de Germany,34-299,1989,0.6,0,1,0,0.0,1.55,0.0,0.0,,7.7,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
297,287,Jamal Musiala,FW,de Germany,21-133,2003,4.7,3,10,4,40.0,2.15,0.86,0.3,0.75,18.6,0,0,0,1.0,1.0,0.1,2.0,2.0,Matches
298,288,Phillipp Mwene,DF,at Austria,30-161,1994,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
299,289,Vitaliy Mykolenko,DF,ua Ukraine,25-040,1999,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
300,290,Joakim Mæhle,"DF,MF",dk Denmark,27-049,1997,3.1,0,1,0,0.0,0.32,0.0,0.0,,11.2,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
301,291,Nacho,DF,es Spain,34-172,1990,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
302,292,Ádám Nagy,MF,hu Hungary,29-021,1995,1.8,0,1,0,0.0,0.57,0.0,0.0,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
303,293,Zsolt Nagy,DF,hu Hungary,31-044,1993,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
304,294,Jesús Navas,DF,es Spain,38-230,1985,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
305,295,Dan Ndoye,"MF,DF",ch Switzerland,23-257,2000,4.5,1,14,2,14.3,3.1,0.44,0.07,0.5,16.1,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
306,296,Pedro Neto,"DF,FW",pt Portugal,24-121,2000,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
307,297,Manuel Neuer,GK,de Germany,38-103,1986,5.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
308,298,João Neves,MF,pt Portugal,19-285,2004,0.9,0,1,0,0.0,1.17,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
309,299,Rúben Neves,MF,pt Portugal,27-117,1997,1.4,0,2,0,0.0,1.44,0.0,0.0,,30.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
310,300,Florin Niță,GK,ro Romania,37-005,1987,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
312,301,Matheus Nunes,MF,pt Portugal,25-316,1998,0.2,0,1,0,0.0,5.0,0.0,0.0,,9.5,0,0,0,0.3,0.3,0.25,-0.3,-0.3,Matches
313,302,Christian Nørgaard,MF,dk Denmark,30-120,1994,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
314,303,Adam Obert,DF,sk Slovakia,21-320,2002,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
315,304,Jan Oblak,GK,si Slovenia,31-183,1993,4.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
316,305,Darius Olaru,MF,ro Romania,26-127,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
317,306,Dani Olmo,"MF,FW",es Spain,26-062,1998,3.0,2,14,5,35.7,4.72,1.69,0.14,0.4,22.1,0,0,0,1.0,1.0,0.07,1.0,1.0,Matches
318,307,Amadou Onana,MF,be Belgium,22-327,2001,4.0,0,3,1,33.3,0.75,0.25,0.0,0.0,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
319,308,Loïs Openda,FW,be Belgium,24-143,2000,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
320,309,Willi Orban,DF,hu Hungary,31-248,1992,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,7.8,0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches
321,310,Mikel Oyarzabal,FW,es Spain,27-078,1997,1.8,0,4,1,25.0,2.21,0.55,0.0,0.0,21.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
322,311,Salih Özcan,MF,tr Türkiye,26-179,1998,1.7,0,1,0,0.0,0.58,0.0,0.0,,30.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
323,312,João Palhinha,MF,pt Portugal,28-365,1995,3.3,0,5,2,40.0,1.51,0.6,0.0,0.0,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
324,313,Cole Palmer,"MF,FW",eng England,22-063,2002,1.3,0,1,1,100.0,0.76,0.76,0.0,0.0,19.2,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
325,314,Mario Pašalić,"FW,MF",hr Croatia,29-150,1995,1.3,0,3,0,0.0,2.33,0.0,0.0,,7.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
326,315,Strahinja Pavlović,DF,rs Serbia,23-045,2001,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
327,316,Pedri,MF,es Spain,21-226,2002,2.1,0,6,4,66.7,2.9,1.94,0.0,0.0,16.1,0,0,0,1.1,1.1,0.18,-1.1,-1.1,Matches
328,317,Peter Pekarík,DF,sk Slovakia,37-252,1986,4.2,0,3,0,0.0,0.72,0.0,0.0,,17.8,0,0,0,0.7,0.7,0.23,-0.7,-0.7,Matches
329,318,Lorenzo Pellegrini,"FW,MF",it Italy,28-019,1996,2.4,0,7,1,14.3,2.89,0.41,0.0,0.0,17.5,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
330,319,Patrick Pentz,GK,at Austria,27-188,1997,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
331,320,Pepe,DF,pt Portugal,41-133,1983,4.5,0,1,0,0.0,0.22,0.0,0.0,,10.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
332,321,Danilo Pereira,DF,pt Portugal,32-303,1991,1.0,0,1,0,0.0,1.0,0.0,0.0,,4.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
333,322,Ayoze Pérez,FW,es Spain,30-345,1993,0.1,0,3,2,66.7,20.77,13.85,0.0,0.0,12.5,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
334,323,Ivan Perišić,"DF,FW",hr Croatia,35-157,1989,1.5,0,4,2,50.0,2.59,1.29,0.0,0.0,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
335,324,Bruno Petković,FW,hr Croatia,29-296,1994,1.0,0,3,0,0.0,3.1,0.0,0.0,,14.2,0,0,1,1.1,0.3,0.1,-1.1,-0.3,Matches
336,325,Krzysztof Piątek,FW,pl Poland,29-007,1995,0.7,1,2,1,50.0,3.05,1.53,0.5,1.0,16.9,0,0,0,0.5,0.5,0.27,0.5,0.5,Matches
338,326,Jordan Pickford,GK,eng England,30-123,1994,5.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
339,327,Jakub Piotrowski,MF,pl Poland,26-278,1997,0.6,0,2,0,0.0,3.1,0.0,0.0,,7.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
340,328,Marin Pongračić,DF,hr Croatia,26-301,1997,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
341,329,Ryan Porteous,DF,sct Scotland,25-105,1999,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
342,330,Stefan Posch,DF,at Austria,27-055,1997,4.0,0,7,3,42.9,1.75,0.75,0.0,0.0,21.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
343,331,Yussuf Poulsen,"FW,MF",dk Denmark,30-023,1994,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
344,332,Alexander Prass,DF,at Austria,23-043,2001,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
345,333,Lukáš Provod,MF,cz Czechia,27-259,1996,2.6,1,3,3,100.0,1.16,1.16,0.33,0.33,25.7,0,0,0,0.1,0.1,0.04,0.9,0.9,Matches
346,334,George Pușcaș,FW,ro Romania,28-091,1996,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
347,335,Leopold Querfeld,DF,at Austria,20-201,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
348,336,Adrien Rabiot,MF,fr France,29-096,1995,3.4,0,3,0,0.0,0.87,0.0,0.0,,19.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
349,337,Bogdan Racovitan,DF,ro Romania,24-032,2000,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
350,338,Predrag Rajković,GK,rs Serbia,28-251,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
351,339,Anthony Ralston,DF,sct Scotland,25-235,1998,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
352,340,Ylber Ramadani,MF,al Albania,28-087,1996,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
353,341,Gonçalo Ramos,FW,pt Portugal,23-018,2001,0.3,0,1,0,0.0,3.6,0.0,0.0,,5.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
354,342,Giacomo Raspadori,FW,it Italy,24-141,2000,0.9,0,1,0,0.0,1.08,0.0,0.0,,29.3,1,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
355,343,Andrei Ratiu,DF,ro Romania,26-018,1998,4.0,0,3,3,100.0,0.75,0.75,0.0,0.0,18.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
356,344,David Raum,DF,de Germany,26-077,1998,1.8,0,1,0,0.0,0.54,0.0,0.0,,27.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
357,345,David Raya,GK,es Spain,28-297,1995,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
358,346,Tijjani Reijnders,MF,nl Netherlands,25-345,1998,4.5,0,10,0,0.0,2.22,0.0,0.0,,21.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
359,347,Mateo Retegui,FW,it Italy,25-070,1999,1.7,0,4,1,25.0,2.37,0.59,0.0,0.0,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
360,348,Declan Rice,MF,eng England,25-176,1999,5.7,0,6,2,33.3,1.06,0.35,0.0,0.0,22.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
361,349,Fabian Rieder,MF,ch Switzerland,22-143,2002,2.4,0,1,1,100.0,0.41,0.41,0.0,0.0,28.1,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches
362,350,Andrew Robertson,DF,sct Scotland,30-119,1994,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
364,351,Rodri,MF,es Spain,28-016,1996,4.3,1,5,1,20.0,1.17,0.23,0.2,1.0,24.2,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
365,352,Ricardo Rodríguez,DF,ch Switzerland,31-318,1992,5.3,0,3,0,0.0,0.56,0.0,0.0,,27.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
366,353,Taras Romanchuk,MF,pl Poland,32-237,1991,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
367,354,Cristiano Ronaldo,FW,pt Portugal,39-154,1985,5.4,0,22,9,40.9,4.08,1.67,0.0,0.0,17.3,7,0,1,3.6,2.8,0.13,-3.6,-2.8,Matches
368,355,Antonio Rüdiger,DF,de Germany,31-127,1993,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,21.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
369,356,Fabián Ruiz Peña,MF,es Spain,28-096,1996,4.0,2,13,5,38.5,3.25,1.25,0.15,0.4,22.1,0,0,0,1.0,1.0,0.08,1.0,1.0,Matches
370,357,Adrian Rus,MF,ro Romania,28-112,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
371,358,Marcel Sabitzer,"FW,MF",at Austria,30-113,1994,4.0,1,12,3,25.0,3.0,0.75,0.08,0.33,20.7,2,0,0,0.9,0.9,0.07,0.1,0.1,Matches
372,359,Bukayo Saka,"FW,DF",eng England,22-307,2001,5.0,1,7,1,14.3,1.39,0.2,0.14,1.0,18.5,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
373,360,Bartosz Salamon,DF,pl Poland,33-068,1991,0.9,0,1,0,0.0,1.06,0.0,0.0,,62.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
374,361,William Saliba,DF,fr France,23-106,2001,5.3,0,2,0,0.0,0.37,0.0,0.0,,15.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
375,362,Roland Sallai,MF,hu Hungary,27-047,1997,3.0,0,8,2,25.0,2.71,0.68,0.0,0.0,17.6,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
376,363,Lazar Samardzic,MF,rs Serbia,22-135,2002,0.6,0,1,0,0.0,1.67,0.0,0.0,,20.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
377,364,Leroy Sané,FW,de Germany,28-179,1996,2.3,0,7,3,42.9,3.03,1.3,0.0,0.0,21.7,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
378,365,Leo Sauer,FW,sk Slovakia,18-205,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
379,366,Gianluca Scamacca,FW,it Italy,25-189,1999,2.8,0,6,1,16.7,2.15,0.36,0.0,0.0,18.0,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
380,367,András Schäfer,MF,hu Hungary,25-086,1999,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,21.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
381,368,Fabian Schär,DF,ch Switzerland,32-201,1991,5.3,0,5,0,0.0,0.94,0.0,0.0,,17.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
382,369,Patrik Schick,FW,cz Czechia,28-166,1996,1.4,1,7,4,57.1,4.96,2.83,0.14,0.25,11.4,0,0,0,1.5,1.5,0.21,-0.5,-0.5,Matches
383,370,Nico Schlotterbeck,DF,de Germany,24-220,1999,1.3,0,2,1,50.0,1.5,0.75,0.0,0.0,9.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
384,371,Kasper Schmeichel,GK,dk Denmark,37-246,1986,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
385,372,Romano Schmid,"FW,MF",at Austria,24-163,2000,1.6,1,1,1,100.0,0.62,0.62,1.0,1.0,10.1,0,0,0,0.1,0.1,0.13,0.9,0.9,Matches
386,373,Jerdy Schouten,MF,nl Netherlands,27-178,1997,4.6,0,1,0,0.0,0.22,0.0,0.0,,14.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
387,374,Ivan Schranz,FW,sk Slovakia,30-299,1993,3.7,3,5,4,80.0,1.36,1.09,0.6,0.75,10.3,0,0,0,1.0,1.0,0.21,2.0,2.0,Matches
388,375,Taulant Seferi,FW,al Albania,27-236,1996,1.0,0,1,1,100.0,0.96,0.96,0.0,0.0,29.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
390,376,Nicolas Seiwald,MF,at Austria,23-065,2001,4.0,0,1,1,100.0,0.25,0.25,0.0,0.0,28.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
391,377,Nélson Semedo,DF,pt Portugal,30-235,1993,1.1,0,2,1,50.0,1.8,0.9,0.0,0.0,17.4,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
392,378,Benjamin Šeško,FW,si Slovenia,21-038,2003,4.0,0,8,4,50.0,2.01,1.01,0.0,0.0,22.4,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
393,379,Petr Ševčík,MF,cz Czechia,30-065,1994,0.2,0,1,0,0.0,4.09,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
394,380,Stephan El Shaarawy,FW,it Italy,31-255,1992,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
395,381,Lawrence Shankland,FW,sct Scotland,28-333,1995,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
396,382,Mykola Shaparenko,MF,ua Ukraine,25-278,1998,2.4,1,1,1,100.0,0.41,0.41,1.0,1.0,11.9,0,0,0,0.2,0.2,0.22,0.8,0.8,Matches
397,383,Xherdan Shaqiri,"MF,FW",ch Switzerland,32-272,1991,0.8,1,1,1,100.0,1.27,1.27,1.0,1.0,23.4,0,0,0,0.1,0.1,0.07,0.9,0.9,Matches
398,384,Luke Shaw,DF,eng England,28-362,1995,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
399,385,Vincent Sierro,MF,ch Switzerland,28-274,1995,0.4,0,1,0,0.0,2.37,0.0,0.0,,31.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
