,Player,Position,90s,TCmp,LFTP,LPrgP,LPPA,LxA,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,CaFTC,CaCPA,Att_Pen,SSh,npxG,SDist,PTTB
0,Brenden Aaronson,attacking midfield,26.4,0.08811516119457403,0.11958261863922244,0.1628787878787879,0.030303030303030304,0.04924242424242425,0.11078204137694225,0.16746111389864526,0.2623106060606061,0.11252661506501019,0.12878787878787878,0.08143939393939395,0.2859848484848485,0.04292929292929293,0.0984848484848485,0.13636363636363638,0.15530303030303033,0.0590909090909091,0.5031897926634769,0.20490620490620493
1,Paxten Aaronson,attacking midfield,1.9,0.11897292262270352,0.1060575968222443,0.15789473684210528,0.0,0.026315789473684213,0.07961830922916358,0.19272717669738826,0.3486842105263158,0.16816428421223908,0.15789473684210528,0.21052631578947367,0.3947368421052632,0.03508771929824561,0.21052631578947367,0.44736842105263164,0.21052631578947367,0.04210526315789474,0.5041551246537396,0.0
2,Himad Abdelli,attacking midfield,23.7,0.2388758360364881,0.35143698750099517,0.31856540084388185,0.05485232067510548,0.052742616033755275,0.2521246458923513,0.34443759910742455,0.2157172995780591,0.24307140163828697,0.18143459915611815,0.12236286919831224,0.23417721518987344,0.08438818565400845,0.05907172995780591,0.048523206751054856,0.10126582278481014,0.023628691983122365,0.5316455696202531,0.22824994976893712
3,Yacine Adli,attacking midfield,1.6,0.14539557709466905,0.2518867924528302,0.3125,0.0625,0.0625,0.2206090651558074,0.2511916708479679,0.328125,0.2219700273895829,0.25,0.21875,0.25,0.10416666666666667,0.0,0.0625,0.125,0.025,0.513157894736842,0.0
4,Maghnes Akliouche,attacking midfield,4.5,0.133269238085796,0.17911949685534592,0.17777777777777778,0.05555555555555556,0.05555555555555555,0.12886370790053508,0.16870156659419078,0.2916666666666667,0.1338172460964571,0.13333333333333333,0.1,0.46666666666666673,0.037037037037037035,0.08888888888888889,0.18888888888888888,0.11111111111111112,0.044444444444444446,0.5029239766081871,0.0
5,Dele Alli,attacking midfield,0.4,0.14103009505147474,0.3358490566037736,0.125,0.0,0.0,0.06303116147308782,0.17862518815855494,0.34375,0.154868656554517,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.5263157894736842,0.0
6,Selim Amallah,attacking midfield,3.0,0.0781671536294767,0.1567295597484277,0.16666666666666669,0.03333333333333333,0.03333333333333333,0.17648725212464592,0.2292356581368122,0.18333333333333335,0.12960696400484514,0.3666666666666667,0.18333333333333335,0.15000000000000002,0.07777777777777778,0.2,0.18333333333333335,0.16666666666666669,0.12,0.6035087719298246,0.0
7,Lukáš Ambros,attacking midfield,0.2,0.03625852601481132,0.0,0.0,0.0,0.0,0.3781869688385269,0.22328148519819369,0.0625,0.12329154086742719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0
8,Elliot Anderson,attacking midfield,4.6,0.1592512374926336,0.2190319934372437,0.2608695652173913,0.04347826086956522,0.16304347826086957,0.24116270476659693,0.19221623508366242,0.4103260869565218,0.23175206866221407,0.21739130434782614,0.25,0.38043478260869573,0.10869565217391305,0.5217391304347826,0.423913043478261,0.23913043478260876,0.08695652173913045,0.48054919908466814,0.14699792960662528
9,Adil Aouchiche,attacking midfield,2.8,0.21836149124520254,0.3598382749326146,0.4107142857142858,0.053571428571428575,0.01785714285714286,0.2701335491703764,0.3317324922944592,0.2723214285714286,0.2721550862494221,0.07142857142857144,0.28571428571428575,0.3571428571428572,0.11904761904761905,0.07142857142857144,0.14285714285714288,0.28571428571428575,0.07142857142857144,0.48872180451127817,0.0
10,Ricard Artero,attacking midfield,1.5,0.10377798161621664,0.08955974842767296,0.1,0.0,0.03333333333333333,0.23531633616619457,0.21435022579026594,0.16666666666666669,0.1253966819132332,0.2,0.13333333333333333,0.30000000000000004,0.08888888888888888,0.0,0.2,0.26666666666666666,0.13333333333333333,0.45614035087719296,0.0
11,Mathias Autret,attacking midfield,14.3,0.151775897003953,0.28652856577384883,0.2692307692307692,0.05594405594405594,0.06993006993006992,0.2168624576556588,0.22859027575535354,0.20891608391608393,0.15751848444434277,0.06993006993006994,0.06993006993006994,0.2027972027972028,0.027972027972027972,0.04195804195804196,0.08391608391608392,0.16083916083916083,0.06993006993006994,0.5160103054839896,0.18914418914418912
12,Nedim Bajrami,attacking midfield,19.5,0.11237462317819928,0.11022738268021287,0.18717948717948718,0.043589743589743594,0.05897435897435897,0.16679015035955547,0.15343445649516899,0.2987179487179487,0.13316951039005528,0.14871794871794872,0.11538461538461538,0.3666666666666667,0.06324786324786325,0.22564102564102564,0.1435897435897436,0.22564102564102564,0.0635897435897436,0.5144399460188933,0.0
13,Nedim Bajrami,attacking midfield,19.5,0.11237462317819928,0.11022738268021287,0.18717948717948718,0.043589743589743594,0.05897435897435897,0.16679015035955547,0.15343445649516899,0.2987179487179487,0.13316951039005528,0.14871794871794872,0.11538461538461538,0.3666666666666667,0.06324786324786325,0.22564102564102564,0.1435897435897436,0.22564102564102564,0.0635897435897436,0.5144399460188933,0.0
14,Tommaso Baldanzi,attacking midfield,19.7,0.12082035077029095,0.1295661335121157,0.17512690355329952,0.043147208121827416,0.045685279187817264,0.1395004385901842,0.18497227606266603,0.21192893401015228,0.10870515747897455,0.116751269035533,0.14467005076142134,0.23857868020304573,0.08629441624365482,0.14213197969543148,0.116751269035533,0.16751269035532998,0.04873096446700508,0.5434143734971948,0.1029731689630167
15,Antonín Barák,attacking midfield,20.3,0.1382774758321207,0.20184031973231717,0.20689655172413796,0.034482758620689655,0.027093596059113302,0.10432743967959365,0.2111824884633162,0.22660098522167488,0.12531372068975313,0.09852216748768473,0.11083743842364531,0.23152709359605914,0.0509031198686371,0.07881773399014778,0.16502463054187191,0.15763546798029557,0.05123152709359607,0.5200933367902515,0.0
16,Antonín Barák,attacking midfield,20.3,0.1382774758321207,0.20184031973231717,0.20689655172413796,0.034482758620689655,0.027093596059113302,0.10432743967959365,0.2111824884633162,0.22660098522167488,0.12531372068975313,0.09852216748768473,0.11083743842364531,0.23152709359605914,0.0509031198686371,0.07881773399014778,0.16502463054187191,0.15763546798029557,0.05123152709359607,0.5200933367902515,0.16654937837203848
17,Mickaël Barreto,attacking midfield,14.7,0.160036275375586,0.32442561930432556,0.29591836734693877,0.054421768707483,0.07142857142857144,0.2727062496386657,0.3043919022701906,0.19302721088435376,0.21243781984798696,0.15646258503401364,0.08843537414965988,0.18027210884353742,0.06802721088435375,0.0,0.030612244897959186,0.1292517006802721,0.02448979591836735,0.5277479412817758,0.09199870424360222
18,Christoph Baumgartner,attacking midfield,28.5,0.08098557010648634,0.16497848394571335,0.17543859649122806,0.06140350877192983,0.07543859649122807,0.1804681675861041,0.2052622776207956,0.22149122807017543,0.1360331840394108,0.18947368421052632,0.13333333333333333,0.2543859649122807,0.06900584795321638,0.23157894736842108,0.20701754385964916,0.23157894736842108,0.09964912280701754,0.5255771006463527,0.09490392648287385
19,Eliesse Ben Seghir,attacking midfield,11.7,0.13565719407523563,0.17223028543783264,0.23504273504273507,0.08974358974358976,0.047008547008547015,0.08188663712743034,0.21679296340610946,0.2905982905982906,0.15378909704384727,0.11965811965811966,0.1324786324786325,0.39743589743589747,0.07977207977207977,0.13675213675213677,0.17094017094017097,0.17948717948717952,0.06495726495726496,0.5641025641025641,0.28897028897028904
20,Jason Berthomier,attacking midfield,0.3,0.3738558040218379,0.22389937106918242,0.16666666666666669,0.0,0.0,0.08404154863078377,0.3870212410102024,0.25,0.26012570884481656,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0
21,Tom Bischof,attacking midfield,3.5,0.09912146743680937,0.17272237196765503,0.22857142857142856,0.05714285714285714,0.1142857142857143,0.2521246458923513,0.19648770697441045,0.2642857142857143,0.16749950282935297,0.02857142857142857,0.11428571428571428,0.17142857142857143,0.10476190476190476,0.11428571428571428,0.11428571428571428,0.2,0.11428571428571428,0.46616541353383456,0.19319727891156463
22,Leonardo Bittencourt,attacking midfield,18.1,0.15492245779666763,0.1632857291775253,0.20441988950276244,0.0718232044198895,0.06629834254143646,0.24515987666880568,0.28027377589519115,0.20925414364640882,0.19883237563267522,0.143646408839779,0.1408839779005525,0.2569060773480663,0.08839779005524862,0.07734806629834254,0.10497237569060774,0.13812154696132595,0.03093922651933701,0.5449258505379471,0.07471717968955538
23,Ludovic Blas,attacking midfield,31.3,0.1396911612618688,0.18670203146663453,0.23482428115015974,0.04313099041533547,0.07667731629392971,0.12404854781923992,0.2239948445758237,0.2887380191693291,0.16657135757593047,0.26198083067092653,0.19488817891373802,0.39616613418530355,0.07348242811501597,0.24920127795527158,0.1645367412140575,0.30351437699680517,0.11884984025559107,0.5168992769463595,0.06481058877225011
24,Kevin-Prince Boateng,attacking midfield,5.2,0.17998362712920857,0.2454281567489115,0.23076923076923075,0.019230769230769232,0.028846153846153844,0.32000435824798434,0.2954185804160716,0.2043269230769231,0.22773892352472433,0.019230769230769232,0.019230769230769232,0.1923076923076923,0.006410256410256409,0.07692307692307693,0.14423076923076925,0.11538461538461538,0.023076923076923078,0.5141700404858299,0.13003663003663005
25,Jean-Paul Boëtius,attacking midfield,11.7,0.11237462317819928,0.21815836155458798,0.2606837606837607,0.04273504273504274,0.038461538461538464,0.32754654850972137,0.23893027304969103,0.1153846153846154,0.14353328169248483,0.05982905982905983,0.017094017094017096,0.0982905982905983,0.014245014245014245,0.0,0.029914529914529916,0.04273504273504274,0.017094017094017096,0.51731893837157,0.2311762311762312
26,Quentin Boisgard,attacking midfield,2.0,0.20738542210802824,0.30226415094339626,0.275,0.1,0.1,0.2647308781869689,0.25900652282990466,0.36250000000000004,0.26538856145933143,0.05,0.17500000000000002,0.375,0.06666666666666667,0.1,0.2,0.30000000000000004,0.08000000000000002,0.5894736842105263,0.0
27,Julian Brandt,attacking midfield,26.6,0.2079893684959589,0.15151085260320615,0.22368421052631582,0.07518796992481203,0.14661654135338345,0.16302796651685872,0.22428877009382464,0.3825187969924812,0.22704492098215093,0.15413533834586468,0.12593984962406016,0.40977443609022557,0.05263157894736842,0.20300751879699247,0.15037593984962405,0.15789473684210528,0.07819548872180451,0.556390977443609,0.15252416756176154
