,Player,Position,90s,TCmp,LFTP,LPrgP,Def_3rd,Mid_3rd,Att_3rd,Live,TOSucc,CaPrgC,PrgR,TOAtt,BTklInt,PTTB
0,Christian Acella,central midfield,0.2,0.03176470588235294,0.0,0.0,0.012345679012345678,0.041033434650455926,0.00923076923076923,0.02585755922576788,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
1,Mohamed Achi,central midfield,0.4,0.03176470588235294,0.014285714285714285,0.03409090909090909,0.024691358024691357,0.02507598784194529,0.04615384615384615,0.029556834317315598,0.0,0.13043478260869565,0.046875,0.1,0.021739130434782608,0.0
2,Martin Adeline,central midfield,1.2,0.017058823529411765,0.009523809523809525,0.011363636363636364,0.04526748971193416,0.016717325227963528,0.024615384615384612,0.022980345265675214,0.0625,0.021739130434782608,0.015625,0.1,0.043478260869565216,0.0
3,Michel Aebischer,central midfield,17.1,0.02299277605779153,0.01236424394319131,0.012227538543328014,0.021225904266839936,0.02132992054604596,0.02655870445344129,0.021545343816907186,0.02631578947368421,0.021357742181540806,0.0932017543859649,0.0304093567251462,0.009661835748792268,0.0
4,Álvaro Aguado,central midfield,21.0,0.03126050420168067,0.03020408163265306,0.03008658008658008,0.029982363315696647,0.03221884498480243,0.02769230769230769,0.029075341368891925,0.04642857142857143,0.03602484472049689,0.044642857142857144,0.05904761904761905,0.016563146997929604,0.012244897959183671
5,Jean-Daniel Akpa-Akpro,central midfield,15.1,0.014117647058823528,0.009082308420056764,0.011739915713425647,0.0266535851524814,0.020411038869542462,0.01748344370860927,0.01930829074139422,0.15397350993377482,0.0328246472790095,0.04594370860927152,0.1456953642384106,0.03800748632306364,0.005676442762535478
6,Luis Alberto,central midfield,27.1,0.04271760364662469,0.04428044280442804,0.04159677960415968,0.024509133980228692,0.04323736246481005,0.046392279307408454,0.03904390512405236,0.0525830258302583,0.07027113749398363,0.06503690036900368,0.06051660516605166,0.018610620888817583,0.044280442804428034
7,Thiago Alcántara,central midfield,13.9,0.04804062632247143,0.045220966084275435,0.03924133420536298,0.04831690203392841,0.0522184076447049,0.024969562811289425,0.04312084298632389,0.1133093525179856,0.02439787300594307,0.03237410071942446,0.08633093525179857,0.040037535189239915,0.04933196300102774
8,Carlos Alcaraz,central midfield,11.4,0.013746130030959751,0.010025062656641603,0.011164274322169059,0.015811132770197096,0.018717005279155336,0.021052631578947364,0.01733408328383922,0.08552631578947369,0.04576659038901602,0.05263157894736842,0.09824561403508772,0.008390541571319604,0.015037593984962403
9,Rubén Alcaraz,central midfield,22.7,0.025716506867064007,0.02341095028319698,0.021025230276331595,0.03361070321422745,0.03085039433338243,0.01821755337173839,0.02660719206370266,0.03964757709251101,0.034476153993487836,0.016519823788546256,0.04229074889867841,0.023750239417736064,0.02265575833857772
