,Player,Position,BTklInt,CTkl%,PTCrs,PTTB,SCA,LPrgP,LFTP,LxA,CaFTC,CaPrgC,Def_3rd,Mid_3rd,Att_3rd,Live,90s,PrgR
0,Abner,left-back,0.02595717066839714,0.0065298507462686565,0.0197318492284341,0.0,0.010854816824966078,0.010854816824966078,0.015351812366737739,0.023566378633150042,0.027255029201816997,0.031148604802076568,0.04717154965911184,0.025722451571927596,0.031136624569460387,0.0300169431595479,6.7,0.12437810945273632
1,Marcos Acuña,left-back,0.03281378178835111,0.003369272237196766,0.07051487048289096,0.012129380053908354,0.027873070325900515,0.021869639794168096,0.01913746630727763,0.0849056603773585,0.05291222313371616,0.06029532403609516,0.04728627999068251,0.028818030624534034,0.04066763425253991,0.03416347877094106,21.2,0.1477987421383648
2,Felix Agu,right-back,0.017391304347826087,0.0,0.020338983050847456,0.0,0.07272727272727272,0.01818181818181818,0.011428571428571429,0.06315789473684212,0.10434782608695652,0.0,0.0345679012345679,0.02370820668693009,0.05169230769230768,0.0312831626933712,0.5,0.13333333333333333
3,Ruben Aguilar,right-back,0.024749163879598662,0.0027972027972027976,0.030508474576271184,0.0,0.012587412587412587,0.03566433566433566,0.03164835164835165,0.029149797570850202,0.04615384615384615,0.05819397993311037,0.039886039886039885,0.03247603460369417,0.04331360946745561,0.03572229280322846,13.0,0.2
4,Ola Aina,right-back,0.025100851636037654,0.006185567010309279,0.03669404158658046,0.0,0.025304592314901595,0.02014995313964386,0.020618556701030927,0.06185567010309279,0.06992380098610489,0.09412819363514119,0.03716431207840143,0.027637639833296777,0.047581284694686754,0.03325610940886332,9.7,0.14776632302405499
5,Rayan Aït Nouri,left-back,0.030434782608695653,0.005,0.017796610169491522,0.0,0.017424242424242425,0.01628787878787879,0.013809523809523808,0.02368421052631579,0.028260869565217388,0.06521739130434782,0.04938271604938271,0.02120060790273556,0.03584615384615384,0.02914580375158807,12.0,0.2111111111111111
6,Sergio Akieme,left-back,0.013981244671781757,0.00213903743315508,0.027916251246261216,0.010084033613445377,0.012834224598930482,0.01033868092691622,0.009635854341736695,0.027244582043343662,0.03478260869565217,0.061381074168797956,0.0420237230694747,0.020132308242445912,0.0222262443438914,0.023546116750264863,25.5,0.10980392156862745
7,Jordi Alba,left-back,0.01981287837094111,0.0027124773960216994,0.05857112207680754,0.021699819168173592,0.03394706559263521,0.0405638665132336,0.0433996383363472,0.133910726182545,0.0445789763346175,0.06934507429829388,0.04672605094546023,0.04414989804162979,0.05912366114897759,0.047366424525990464,15.8,0.33122362869198313
8,Trent Alexander-Arnold,right-back,0.026755852842809368,0.0016358325219084711,0.07885267275097783,0.06857142857142856,0.03468531468531469,0.032867132867132866,0.04202197802197802,0.08842105263157896,0.03130434782608695,0.03451505016722408,0.05599240265906933,0.04576104746317512,0.04754556213017751,0.04699085385132765,32.5,0.14256410256410257
9,Marcos Alonso,left-back,0.017391304347826087,0.0057692307692307696,0.01799217731421121,0.0065934065934065925,0.00979020979020979,0.024825174825174826,0.03076923076923077,0.021862348178137654,0.022073578595317726,0.05217391304347826,0.07635327635327635,0.04376899696048632,0.013349112426035502,0.040996131138870844,13.0,0.03076923076923077
10,Mickaël Alphonse,right-back,0.04031097034264325,0.004013646397752359,0.01818385901896958,0.0,0.01143889223359422,0.015352197471402769,0.0162724692526017,0.01882188915998606,0.04319032536711776,0.05182839044054132,0.041697326465538385,0.027597173856156523,0.021762608252674474,0.027441796240691187,15.1,0.07505518763796909
11,Jordan Amavi,left-back,0.02766798418972332,0.015151515151515148,0.027734976887519257,0.0,0.008264462809917354,0.010330578512396693,0.005194805194805195,0.0,0.059288537549407105,0.04743083003952569,0.037037037037037035,0.026941143962420554,0.019300699300699296,0.025409162244974214,2.2,0.07575757575757575
12,Kelvin Amian,right-back,0.02503293807641634,0.002932551319648094,0.015023112480739599,0.0032467532467532465,0.015495867768595042,0.01756198347107438,0.017316017316017316,0.026315789473684216,0.030632411067193676,0.05237154150197629,0.047325102880658436,0.01768444321635811,0.026783216783216778,0.024792616396382933,26.4,0.09090909090909091
13,Ayoub Amraoui,left-back,0.026350461133069828,0.012121212121212121,0.04314329738058551,0.0,0.011019283746556474,0.01790633608815427,0.017316017316017316,0.009569377990430625,0.039525691699604744,0.047430830039525695,0.051627384960718295,0.025697706548770377,0.02797202797202797,0.030117330543307674,3.3,0.18181818181818182
14,Angeliño,left-back,0.019423278051695803,0.002136156775332033,0.06255460422855146,0.0029455081001472745,0.027491408934707903,0.016869728209934393,0.01610211094747177,0.08355941399891482,0.023307933662034958,0.02151501568803227,0.04293411395358703,0.024159433459718608,0.03381443298969072,0.02920512775076524,29.1,0.1374570446735395
15,Fabrizio Angileri,left-back,0.025418060200668894,0.00904977375565611,0.01877444589308996,0.0,0.006993006993006993,0.011188811188811189,0.011428571428571429,0.0048582995951417015,0.02809364548494983,0.016053511705685617,0.03342830009496676,0.022024783726911384,0.02272189349112426,0.02331549326542227,6.5,0.07179487179487179
